Name,Link,Categories,Pricing,Platforms,Tags,Description
PureRef,https://www.pureref.com/,Reference Images Viewer,Free,"Windows, Mac, Linux",,
Kuadro,http://kruelgames.com/tools/kuadro/,Reference Images Viewer,Free,"Windows, Mac",,
Marmoset viewer,https://marmoset.co/viewer/,3D Art Viewer,Free,"Windows, Mac",,Viewer delivers WebGL-powered 3D rendering to the web and now supports animation! Export directly from Toolbag to showcase your artwork in interactive 3D!
Colour Lover Seamless,http://www.colourlovers.com/seamless,Pattern Maker,Free,Web,,
Pattern Cooler,https://www.patterncooler.com/,Pattern Maker,"Free, Subscription",Web,,Tiled Patterns
Texture Exporter,http://www.unorthodoxentertainment.com/texture-exporter/,Texture Exporter,"Trial, Paid","Windows, Mac",Photoshop Plugin,
Colour Lover Photocopa,https://www.colourlovers.com/photocopa,Palette Creator,Free,Web,,
Colour Lover Copasco,https://www.colourlovers.com/copaso/ColorPaletteSoftware,Palette Creator,Free,Web,,
paletton,http://paletton.com/,Palette Creator,Free,Web,,
Google Art & Culture Art Palette,https://artsexperiments.withgoogle.com/artpalette/,Palette Creator,Free,Web,,Find artworks that match your chosen color palette.
Coolors,https://coolors.co/,Palette Creator,Free,"Windows, Mac, Web, iOS","Photoshop Plugin, Illustrator Plugin",Generate or browse beautiful color combinations for your designs.
Color Supply,https://colorsupplyyy.com/,Palette Creator,Free,Web,,"Find the colors your like, then grab the hex code. It's easy."
Cohesive Color,https://javier.xyz/cohesive-colors/,Palette Creator,Free,Web,,Create more cohesive color palettes.
Adobe Color CC,https://color.adobe.com/create/color-wheel/,Palette Creator,Free,Web,,
Color Lisa,http://www.colorlisa.com/,Color,Free,Web,,"Color Lisa is a curated list of color palettes based on masterpieces of the worlds greatest artists. Each palette was painstakingly created by color obsessed designers, artists, museum curators, and masters of color theory."
Colorable,http://jxnblk.com/colorable/,Color,Free,Web,,Color Contrast Tester
Color Cop,http://colorcop.net/,Color,Free,Windows,,Color Sample
Picular,https://picular.co/,Color,Free,Web,,"Picular is a rocket fast primary color generator using Google’s image search. If you ever needed the perfect yellow hex code from a banana, this is the tool for you."
Color Oracle,http://colororacle.org/,Color,Free,Web,Accessibility,Color Blindness Checker
