Name,Link,Costs,Platforms,Categories,Tags,Description
Unity,https://unity3d.com/,"Free, Subscription","Windows, Mac, Linux",Game Engines,"2D, 3D, C#",
Unreal Engine,https://www.unrealengine.com/,"Free, Royalty","Windows, Mac, Linux",Game Engines,"2D, 3D, Visual Scripting, C++",
Adobe Photoshop,https://www.adobe.com/products/photoshop.html,"Trial, Subscription","Windows, Mac, iOS",Image Manipulation,Raster,
gimp,https://www.gimp.org/,Free,"Windows, Mac, Linux",Image Manipulation,Raster,
Adobe Illustrator,https://www.adobe.com/products/illustrator.html,"Trial, Subscription","Windows, Mac",Graphic Art,,
Inkscape,https://inkscape.org/,Free,"Windows, Mac, Linux","Graphic Art, Graphic Design",,
Autodesk Maya,https://www.autodesk.com/products/maya/overview,"Trial, Subscription","Windows, Mac, Linux","Model, Texture, 3D Animation, Render",,
zbrush,www.pixologic.com,"Trial, Paid","Windows, Mac","Model, Sculpt, Texture, Paint",,
Substance Painter,https://www.allegorithmic.com/products/substance-painter,"Trial, Paid, Subscription","Windows, Mac, Linux","Texture, Paint",,
Houdini,https://www.sidefx.com/products/houdini/,"Free, Subscription, License","Windows, Mac, Linux","Model, Texture, Animate, Rendering, VFX, Terrain, Cloth, Hair",,Includes tools for Procedural Generation and Manipulation
SpeedTree,https://store.speedtree.com/,"Trial, Paid","Windows, Mac, Linux",Plant Generator,,
Blender,https://www.blender.org/,Free,"Windows, Mac, Linux","Model, Sculpt, Texture, 3D Animation, Render",,
deltaDNA,https://deltadna.com/,"Trial, Subscription",,Game Analytics,,
ESA Trends,https://www.theesa.com/esa-research/2019-essential-facts-about-the-computer-and-video-game-industry/,Free,,Trend Info,,
PcPartPicker,https://pcpartpicker.com/,Free,Web,Business,,Build a PC
Discord,https://discordapp.com/,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",Communication,,
Microsoft Teams,https://products.office.com/en-us/microsoft-teams/,Subscription,"Windows, Mac, Linux, iOS, Android, Web",Communication,,
Slack,https://slack.com/,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",Communication,,
xsolla,https://xsolla.com/,,Monetization Services,"","",""
Accelbyte,https://accelbyte.io/,,,Business,"Muliplayer Game Services, Game Analytics",
Havok,https://www.havok.com/,Paid,"Windows, Mac","Physics, Artificial Intelligence",,"Physics Engine, AI SDK, Cloth Physics"
Vivox,https://www.vivox.com/features,"Free, Subscription","Windows, Mac, Linux",Audio,,Voice Communications Solution
Easy,https://www.easy.ac/en-us/,License,,Anti-Cheat,,
Webflow,https://webflow.com/,"Free, Trial, Subscription","Web","Website Maker, Website Hosting, Domain Name Registar",,
Porkbun,https://porkbun.com/,"Subscription","Web","Domain Name Registar, Website Hosting, Email Hosting",,Free Whois Privacy
Adobe Premiere Pro,https://www.adobe.com/products/premiere.html,"Trial, Subscription","Windows, Mac",Video NLE,,
DaVinci Resolve,https://www.blackmagicdesign.com/products/davinciresolve/,"Free, Paid","Windows, Mac, Linux",Video NLE,,
OBS,https://obsproject.com/,Free,"Windows, Mac, Linux","Screen Record, Stream",,
Trello,https://trello.com/en,Free,Web,Task Management,,
Atlassian JIRA,https://www.atlassian.com/software/jira,"Free, Trial, Subscription",Web,"Task Management, Bug Tracking",,
Microsoft Azure Devops,https://azure.microsoft.com/en-us/services/devops/,"Free, Subscription",Web,"Task Management, Bug Tracking",,
Trello,https://trello.com/en,Free,Web,Task Management,,
Microsoft Office 365,https://products.office.com/en-us,"Free, Trial, Subscription, Paid","Windows, Mac, Web, iOS, Android",Office Software,,
Google Suite,https://gsuite.google.com/,"Free, Subscription",Web,"Collaboration, Cloud Storage",,
Atlassian Confluence,https://www.atlassian.com/software/confluence,"Free, Subscription",Web,Wiki,,
GitHub,https://github.com/,"Free, Subscription",,VCS Hosting,Git,
Assembla,https://www.assembla.com/home,Subscription,,VCS Hosting,"Perforce, Git, SVN",
Git Kraken,https://www.gitkraken.com/,Free,"Windows, Mac, Linux",VCS GUI,Git,
SourceTree,https://www.sourcetreeapp.com/,Free,"Windows, Mac",VCS GUI,"Git, Mercurial",
